Section,Clause Content
Privacy Policy,"Central Tickets (“CT”, “we” or “us”) is committed to protecting your privacy, including online, and ensuring transparency in how your data is collected, used, and stored. This Privacy Policy (the ""Policy"") explains the information we collect from you, how we use it, and your rights. By using our website or services, you agree to this Policy."
Privacy Policy,"This Privacy Policy (the “Policy”) (together with our terms of use and any other documents referred to on it) sets out what information we may hold about you if you provide it, and how that data will be used. No information will be shared more widely than is set out below unless it is required by law."
Privacy Policy,"Central Tickets (“CT”, “we” or “us”) is committed to protecting your privacy, including online, and ensuring transparency in how your data is collected, used, and stored. This Privacy Policy (the ""Policy"") explains the information we collect from you, how we use it, and your rights. By using our website or services, you agree to this Policy."
Privacy Policy,"This Privacy Policy (the “Policy”) (together with our terms of use and any other documents referred to on it) sets out what information we may hold about you if you provide it, and how that data will be used. No information will be shared more widely than is set out below unless it is required by law."
Who Are We?,"CT is a limited company and acts as the ""data controller"" for the personal data you provide. We are registered with the Information Commissioner’s Office (ICO) under registration number ZA256756."
Who Are We?,Contact us at:
Who Are We?,Central Tickets Limited 71-75 Shelton Street Covent Garden London WC2H 9JQ You can contact our Data Protection Lead (DPL) via enquiries@centraltickets.co.uk
Information We Collect from You,"We collect basic personal information such as your name, email address, and mobile number for ticket delivery and account verification purposes. Occasionally, we may collect your physical address for the delivery of paper tickets when required by venues."
Information We Collect from You,"Additionally, we collect and store details of any access needs you report for the purpose of liaising with venues to ensure those needs can be accommodated for events you book tickets for. Access need information is classified as special category data and is stored separately from personal identifiable information (PII)."
Information We Collect from You,"For certain services, such as through our Tickets for Medics website, we may collect photographic ID to verify eligibility. Photographic ID is encrypted, stored separately from other personal data, and permanently deleted from our servers immediately after review."
Information We Collect from You,"All personal data collected from our members and event organisers is securely stored and encrypted using the AES-256 standard, ensuring a high level of data protection. Passwords are encrypted with Bcrypt."
How We Use Your Information,We use your data for the following purposes:
How We Use Your Information,"• To verify your account and provide the services you've requested, such as ticket bookings and delivery."
How We Use Your Information,• To respond to queries or customer service requests.
How We Use Your Information,• To create customer segments based on purchase and website/app behaviour to deliver personalised communications and offers.
How We Use Your Information,• To analyse customer trends and purchasing patterns for business purposes.
How We Use Your Information,• To ensure that any access needs you report are communicated to venues to accommodate your requirements.
How We Use Your Information,"We may also process your information for legal, regulatory, or investigative purposes. This may involve consulting external services or the use of third-party tools, including AI-assisted services, to support internal analysis, verify information, safe-guard our interests or ensure compliance with legal obligations and applicable laws."
Links to Other Websites and Partner Platforms,"Our website and app may contain links to other websites run by other organisations. This Privacy Policy applies only to our website and app, so we encourage you to read the privacy statements on the other websites you visit. We cannot be responsible for the privacy policies and practices of other sites even if you access them using links from our website."
Links to Other Websites and Partner Platforms,"Additionally, if you linked to our website from a third-party site, we cannot be responsible for the privacy policies and practices of the owners and operators of that third-party site and recommend that you check the policy of that third-party site."
Links to Other Websites and Partner Platforms,"Our third-party partner platforms: Sometimes, you will provide your information to our third-party partner platforms. For example, Ingresso , London Theatre Direct , and TTG/Encore , who we’ve teamed up with to sell tickets on our behalf. These platforms are run by other organisations. This Privacy Policy applies only to our website, so we encourage you to read the privacy statements on the other platforms you visit. CT is not responsible for the privacy policies and practices of other platforms."
Data Sharing,"We do not sell your personal data or allow its use for marketing purposes by third parties. However, we may share your data in the following circumstances:"
Data Sharing,"Ticket Issuance: When venues issue e-tickets, we share your contact details with them to facilitate ticket delivery via email or SMS, and in such cases, we ensure a Data Processing Agreement (DPA) is in place to restrict data use exclusively for this purpose. However, when we issue tickets directly, we only share a list of names and ticket quantities with the venue, and no DPA is required. Third-Party Analysis: We may engage third-party services for customer data analysis, ensuring necessary Data Sharing Agreements are in place. Data will only be used for agreed purposes and will not include marketing. Lookalike Audiences: We may use aggregated customer data to build lookalike audiences for marketing, ensuring compliance with data privacy standards. Overseas Processing: Some of our staff and IT subcontractors who process your data may operate outside the UK. In these cases, Standard Contractual Clauses (SCCs) are included in contracts to ensure data protection standards are upheld. Service Providers: We may share your data with third-party service providers that facilitate our operations, such as email marketing platforms or IT service providers. These providers act on our behalf and are required to adhere to strict confidentiality and data protection standards. Data shared with these providers is used solely for the purpose of delivering the agreed-upon services. Legal & Regulatory Requirements: We may share personal data where necessary to comply with legal obligations, respond to lawful requests from regulatory authorities, or in connection with the establishment, exercise, or resolution of legal claims or investigations. This may include sharing data with legal advisors, regulators, insurers, or other authorised parties. Any such disclosures are limited to what is strictly necessary and are handled with due regard to confidentiality and data protection requirements."
Data Sharing,"For transparency, you can view our current sub-processor notice here ."
Data Sharing,
Data Retention,"• If you remain subscribed to our marketing communications, we will continue to process and retain your personal information indefinitely, unless you request deletion or we no longer need the data for the purposes for which it was collected."
Data Retention,"• If you unsubscribe from marketing communications, we will delete your personal information six (6) years after the date you unsubscribed from marketing emails, the date of your last purchase, or your use of an affiliate site (whichever is later)."
Data Retention,"• Records related to blocked or deleted accounts are retained in an encrypted, minimised suppression list in line with ICO guidance. This ensures we have a record of actions taken and prevents the user’s details from being re-added inadvertently."
Data Retention,"• If a member who has previously exercised their right to be forgotten under GDPR and has been added to the suppression list later re-registers with fresh consent, we will remove their details from the suppression list and consider their consent as renewed. This will allow the opening of a new account and the processing of their data in line with their updated preferences."
Data Retention,"• We retain records of email exchanges for seven years from the date of the last message, comment, or action taken on any given email thread."
Security Measures,"All personal data is securely encrypted at rest using the AES-256 standard, and protected in transit using SSL/TLS encryption."
Security Measures,Passwords are encrypted using the Bcrypt standard.
Security Measures,"Photographic ID and sensitive data, including access needs information, are encrypted and securely stored separately from other personal identifiable information (PII)."
Security Measures,All payment transactions use SSL encryption and comply with PCI-DSS standards.
EU-U.S. Data Privacy Framework,"Where necessary, data transfers between the EU/UK and the U.S. comply with the EU-U.S. Data Privacy Framework, ensuring your data is protected during international transfers."
N/A,"If you would like to submit a subject access request, please complete this form and we will endeavour to respond within 30 days of receiving the required information."
Cookies Policy,"What Are Cookies? Cookies are small files downloaded to your device to improve website functionality and user experience. Some are essential for site operation, while others, like analytics and personalisation cookies, require your consent."
