Section,Clause Content
Introduction,"Central Tickets provides a membership service designed to
                                    discreetly help event organisers throughout the United Kingdom build audiences for
                                    their events. By using our membership services, you agree to be bound by the
                                    following terms and conditions."
Introduction,"Central Tickets Limited (Company Reg No:
                                    11263393) is the entity you are contracting with, and its registered address is
                                    71-75 Shelton Street, London, WC2H 9JQ."
Introduction,"Central Tickets is a member of the Society of Ticket
                                    Agents and Retailers (STAR) and operates within the code of practice set by STAR for
                                    its members. For more information on STAR, please visit www.star.org.uk ."
Acceptance and Instruction,"By joining Central Tickets, you gain access to
                                    discounted tickets in exchange for agreeing to receive our marketing communications
                                    about ticket opportunities and paying an administration fee to be added to our
                                    guest-lists. The named member must be in attendance, and ticket transfers are
                                    prohibited."
Acceptance and Instruction,"The named member must be in attendance for all
                                    events booked. Passing along tickets to friends or family or selling tickets to
                                    third parties is strictly forbidden."
Acceptance and Instruction,"To ensure compliance with our terms, members
                                    must provide their full legal names during registration and refrain from using
                                    abbreviations, nicknames, or aliases, as membership signifies agreement to be bound
                                    by our terms and conditions."
Direct Bookings & Third-Party Bookings,"Our members have access to seat-filling opportunities
                                    which are fulfilled directly by Central Tickets and offered via our own website/app
                                    ( https://centraltickets.co.uk ). These are shows where we are
                                    gathering an audience of seat-fillers for an event organiser which are generally
                                    priced between £4-15.00 per ticket. The Terms & Conditions on this page apply to
                                    those bookings."
Direct Bookings & Third-Party Bookings,"We also provide our members with access to discounted
                                    & full price ticket offers for everything in the West End. We often get exclusive
                                    ticket offers for our members and these are fulfilled by third-parties via branded
                                    white label websites operated by third-parties."
Direct Bookings & Third-Party Bookings,"Please note we promote a mix of discounted and full
                                    price tickets. Any discounts offered will be explicitly advertised and called out in
                                    our email marketing communications. We do not make any claim to always offer the
                                    cheapest ticket price for any given show, or that every show we promote is
                                    discounted."
Direct Bookings & Third-Party Bookings,"These bookings are fulfilled by:

,TTG/Encore via this website https://centraltickets.tixculture.com
,Ingresso via this website https://centraltickets.ticketswitch.com
,London Theatre Direct via this website https://centraltickets.londontheatredirect.com"
Direct Bookings & Third-Party Bookings,"Please note that bookings made through these sites are
                                    subject to their own terms and conditions, which can be found on each respective
                                    site. Those companies also manage the bookings and provide customer service for any
                                    enquiries. While we are happy to forward your enquiries to their teams, we do not
                                    have direct access to manage certain aspects of the booking."
Direct Bookings & Third-Party Bookings,"When you make a booking via Central Tickets,
                                    TTG/Encore, London Theatre Direct or Ingresso, the booking will show within your
                                    Central Tickets account irrespective of who is fulfilling the order."
Direct Bookings & Third-Party Bookings,"If a user disagrees with the final resolution provided
                                    by Central Tickets Limited in relation to any third-party booking, they will have
                                    access to a free Alternative Dispute Resolution (ADR) service through STAR. More
                                    details, including how to contact STAR and the ADR procedure, are available on the
                                    STAR website ."
Membership Obligations,"As a member you are required to direct all
                                    enquiries about an event to Central Tickets staff."
Membership Obligations,"Under no circumstance should any member attempt
                                    to make direct contact with an organiser or venue of any up-and-coming event."
Membership Obligations,"All communications sent from Central Tickets
                                    are intended for the member only and should not be forwarded without prior written
                                    consent under any circumstances."
Membership Obligations,"On receipt of any seat at any event you must
                                    accept the allocation as given without complaint and under no circumstance contact
                                    the Box Office or any of our representatives to attempt to secure different seats
                                    than the ones you are given."
Membership Obligations,"Members are asked to commit to any booking made
                                    and to refrain from making repeated cancellations as permitted in these Terms &
                                    Conditions."
Membership Obligations,"Our service is only to be used by members and
                                    their accompanying guests and for private use only."
Membership Obligations,"Members cannot use their account to book
                                    tickets for either business use or for any social groups whatsoever, without
                                    exception. It is strictly forbidden to book tickets and resell them to groups or
                                    individuals."
Member And Guest Conduct,"As a member you will access complimentary
                                    guest-list tickets to events that you may attend with a guest or guests of your
                                    choice."
Member And Guest Conduct,"Members and guests must not discuss complimentary
                                    tickets or Central Tickets in, or around the venue or any of the events or venues we
                                    work with, this includes postings on social media, in print, online media or any
                                    other public discussion forum and, under any circumstances; including but not
                                    limited to online news websites, blogs, fan pages or discussion boards or review
                                    sites."
Member And Guest Conduct,"Members and guests must be willing to remain for
                                    the entire event and contribute with good appreciation to support a good event
                                    atmosphere."
Member And Guest Conduct,"Central Tickets operates a zero-tolerance policy
                                    for any kind of abusive, or unfriendly language towards our team, our
                                    representatives, and the staff at the venues we work with."
Member And Guest Conduct,"You and your guests agree as follows:

,To be friendly and respectful towards all staff at
                                            the hosting venue and to co-operate politely at all times with Central
                                            Tickets staff.
,Be mindful that you will be attending the event as a
                                            brand ambassador for Central Tickets.
,To represent Central Tickets and demonstrate
                                            appropriate behaviour at all times."
Member And Guest Conduct,"As a member, you should refrain from bringing
                                    young children to any event unless the event is described as a family show suitable
                                    for children."
Member And Guest Conduct,"If you wish to bring a teenage guest to an event
                                    you should check that the show is age appropriate before booking."
Flexi-Tickets,"All members can access the Flexi-Ticket benefit to
                                    request ticket refunds that can be held as credits. This benefit has specific
                                    criteria. Please read our Flexi-Ticket Terms and Conditions for further
                                    information."
Credit Wallet,"Central Tickets Limited operates a credit wallet system
                                    that allows members to purchase and accrue credit, which can be redeemed toward the
                                    cost of seat-filling bookings. Members may also have opportunities to participate in
                                    promotions where, by topping up a specified amount, they earn additional promotional
                                    credit as a reward. Once credited to the wallet, these funds are generally
                                    non-refundable."
Credit Wallet,"Wallet credit can be applied exclusively toward events
                                    listed under the Current Listings tab on our website. It cannot be used to
                                    purchase tickets through third-party operators we partner with, such as Ingresso , London
                                        Theatre Direct , or Encore/TTG . Credits are only valid for shows managed
                                    directly by Central Tickets and listed in our Current
                                        Listings inventory, and cannot be applied to West End Offers or other
                                    third-party linked events."
Credit Wallet,Current Listings can be found here: https://centraltickets.co.uk/current-listings
Credit Wallet,"Refunds of wallet credit will only be considered if
                                    either Central Tickets or the customer permanently closes the member account and a
                                    credit balance remains. In such cases, each situation will be reviewed individually
                                    to determine if a refund of the original cash deposit is appropriate. Please note,
                                    however, that any promotional credit granted will typically be forfeited, as the
                                    conditions tied to these promotional rewards would no longer be met under account
                                    closure."
